Year,Race dates,Teams,High school teams,Middle school teams,Athlete entries,Finishers,% of athletes traveling 30+ miles,% of athletes traveling 150+ miles,Teams traveling 150+ miles,Furthest school (miles),Average school distance (miles),Notes
2021,"Oct 9, 2021",52,52,0,1305,"1,100 (est.)",59,10,5,192,45,7 of 8 races recovered; 922 known finishers
2022,"Oct 1, 2022",56,56,0,1126,917,57,33,22,318,84,
2023,"Aug 18-19, 2023",60,36,24,1890,1590,41,5,5,243,31,
2024,"Aug 23-24, 2024",65,40,25,2199,1854,49,12,11,238,45,
2025,"Aug 22-23, 2025",58,36,22,1734,1522,44,7,7,212,35,
2026,"Aug 21-22, 2026",69,42,27,2026,1718,39,15,11,212,46,
